SNo,Zone,Compartment Name,Compartments,No of Participants,No of QR Codes Given,No of  QR's Scanned,
4,Zone 2,Beach Road- Main Venue,C4,1008,1250,1224,
5,Zone 2,Beach Road- Main Venue,C5,1008,1250,1241,
6,Zone 2,Beach Road- Main Venue,C6,1008,1250,1246,
7,Zone 2,Beach Road- Main Venue,C7,1008,1250,1214,
11,Zone 4,Beach Road- Park Hotel,C11,1344,1500,1682, 
12,Zone 4,Beach Road- VUDA Park,C12,1344,1500,1458,
13,Zone 5,Beach Road - GCC,C13,1344,1500,1455,
14,Zone 5,Beach Road - Ocean Vista Bay Hotel,C14,1344,1500,1437,
15,Zone 6,Beach Road - Kurupam Tomb,C15,1344,1500,1551,
16,Zone 6,Beach Road-Christian Missionary School,C16,1344,1500,1476,
17,Zone 7,Beach Road - Santhi Ashramam,C17,1344,1500,1449,
18,Zone 7,Beach Road - Law Son Bay Colony -Pickle Ball Court,C18,1344,1500,1471,
19,Zone 8,Beach Road - GVMC Dumper,C19,1344,1500,1401,
20,Zone 8,Beach Road - Gadiraju Palace,C20,1344,1500,1476,
21,Zone 9,Beach Road - Mango Hundai Work Shop,C21,1344,1500,1436,
22,Zone 9,Beach Road - Appu Ghar,C22,1344,1500,1452,
23,Zone 10,Beach Road - Sewage Treatment Plant,C23,1344,1500,1423,
24,Zone 10,Beach Road-Roapway,C24,1344,1500,1432,
25,Zone 11,Beach Road-Roapway,C25,1344,1500,1471,
26,Zone 11,Beach Road- View Point,C26,1344,1500,1497,
27,Zone 12,Beach Road- Teneti Park,C27,1344,1500,1769,
29,Zone 13,Beach Road - Jodugulapalem,C29,672,800,735,
30,Zone 13,Beach Road - Jodugulapalem,C30,672,800,899,
31,Zone 13,Beach Road - Visalakshinagar,C31,672,800,777,
32,Zone 14,Beach Road - View Point,C32,672,800,873,
33,Zone 14,Beach Road - View Point,C33,672,800,784,
34,Zone 14,Beach Road - Sita konda,C34,672,800,767,
35,Zone 15,Beach Road - Sita konda,C35,672,800,825,
36,Zone 15,Beach Road - Sita konda,C36,672,800,775,
37,Zone 15,Beach Road - Zoo Park,C37,672,800,1030,
143,Zone 52,TENNETI PARK,A16,1344,1500,1463,
144,Zone 52,JODUGULLAPALEM,A17,1344,1500,1427,
145,Zone 53,SAGAR NAGAR BEACH,A18-A,1344,1500,1488,
146,Zone 53,SAGAR NAGAR BEACH,A18-B,1344,1500,1437,
147,Zone 54,SAGAR NAGAR BEACH,A19,1344,1500,1467,
148,Zone 54,SAGAR NAGAR BEACH,A20,1344,1500,1428,
149,Zone 55,SAGAR NAGAR BEACH,A21,1344,1500,1425,
150,Zone 55,SAGAR NAGAR BEACH,A22,1344,1500,1490,
151,Zone 56,SAGAR NAGAR BEACH,A23,1344,1500,1464,
152,Zone 56,RADDISON BLU,A24,672,800,892,
153,Zone 56,RADDISON BLU,A25,1344,1500,1452,
154,Zone 57,TTD PARKING,A26,672,800,833,
155,Zone 57,TTD PARKING,A27,672,800,776,
156,Zone 57,TTD PARKING,A28,672,800,766,
220,Zone 87,GOKARTING LAND - I (RELOCATED TO AMMAVARI TEMPLE),A74-A,1344,1500,1405,
221,Zone 87,WISHPERING WATERS CONVENTIONS,A75,336,400,457,
222,Zone 87,WISHPERING WATERS CONVENTIONS,A76,672,800,766,
223,Zone 88,WISHPERING WATERS CONVENTIONS,A77,336,500,468,
224,Zone 88,GOKARTING LAND - II,A78,1344,1500,1436,
225,Zone 88,GOKARTING LAND - II,A79,1344,1500,1529,
226,Zone 89,GOKARTING LAND - II,A80,1344,1500,1504,
227,Zone 89,CHEPALUPPADA GRAMAKANTAM LAND,A81-A,1344,1500,1508,
228,Zone 90,CHEPALUPPADA GRAMAKANTAM LAND,A81-B,672,800,754,
229,Zone 90,INS KALINGA SERVICE ROAD,A82,672,800,804,
230,Zone 90,MARLIN CAY,A83,1344,1500,1478,
231,Zone 91,MARLIN CAY,A84,1344,1500,1475,
232,Zone 91,MARLIN CAY,A85,1344,1500,1502,
233,Zone 92,NERELLAVALASA LAYOUT,A86,1344,1500,1460,
234,Zone 92,NERELLAVALASA LAYOUT,A87,1344,1500,1487,
235,Zone 93,NERELLAVALASA LAYOUT,A88,1344,1500,1488,
236,Zone 93,NERELLAVALASA LAYOUT,A89,1344,1500,1424,
237,Zone 94,NERELLAVALASA LAYOUT,A90,672,800,748,
238,Zone 94,NERELLAVALASA LAYOUT,A91,1344,1500,1495,
239,Zone 94,NERELLAVALASA LAYOUT,A92,672,800,784,
240,Zone 95,NERELLAVALASA LAYOUT,A93,672,800,752,
241,Zone 95,NERELLAVALASA LAYOUT,A94,672,800,775,
242,Zone 95,NERELLAVALASA LAYOUT,A95,672,800,785,
301,Zone 107,Law College Road,C138,1344,1500,1485,
302,Zone 107,Law College Road,C139,1344,1500,1468,
305,Zone 109,Law College Road,C142,1344,1500,1720,
306,Zone 109,Law College Road,C143,1344,1500,1473,
309,Zone 111,Law College Road,C146,1344,1500,1526,
310,Zone 111,Law College Road,C147,1344,1500,1480,
313,Zone 113,Law College Road,C150,1344,1500,1498,
314,Zone 113,Law College Road,C151,1344,1500,1492,
315,Zone 114,Law College Road,C152,1344,1500,1440,
316,Zone 114,Law College Road,C153,1344,1500,1457,
317,Zone 115,Law College Road,C154,1344,1500,1479,
318,Zone 115,Law College Road,C155,1344,1500,1455,
319,Zone 116,Law College Road,C156,1344,1500,1458,
320,Zone 116,Law College Road,C157,1344,1500,1496,
323,Zone 119,Beach Front,BFC3,1008,1250,1241,
324,Zone 119,Beach Front,BFC4,1008,1250,1149,
325,Zone 119,Beach Front,BFC5,1008,1250,1222,
,84,,,94416,107450,106357,